,Entity,Code,Year,Mean male height (cm),Mean female height (cm),mean male height (m),mean female height (m),difference height (m)
17540,Spain,ESP,1963,173.0569086,160.7868386,1.730569086,1.607868386,0.1227007
17541,Spain,ESP,1964,173.2500245,160.9559488,1.732500245,1.609559488,0.12294075700000007
17542,Spain,ESP,1965,173.4342061,161.1151448,1.7343420610000002,1.611151448,0.12319061300000023
17543,Spain,ESP,1966,173.6114563,161.2643165,1.7361145629999999,1.6126431650000002,0.12347139799999973
17544,Spain,ESP,1967,173.7836344,161.4054452,1.7378363440000002,1.614054452,0.12378189200000023
17545,Spain,ESP,1968,173.952673,161.5391493,1.7395267300000001,1.615391493,0.12413523700000018
17546,Spain,ESP,1969,174.1209539,161.6669368,1.741209539,1.616669368,0.12454017100000003
17547,Spain,ESP,1970,174.2887801,161.7885822,1.742887801,1.617885822,0.12500197899999987
17548,Spain,ESP,1971,174.4555349,161.9050297,1.744555349,1.619050297,0.12550505200000006
17549,Spain,ESP,1972,174.619745,162.0162696,1.74619745,1.620162696,0.12603475399999997
17550,Spain,ESP,1973,174.7796997,162.1215872,1.747796997,1.6212158719999998,0.12658112500000018
17551,Spain,ESP,1974,174.9338546,162.2205722,1.749338546,1.622205722,0.12713282400000003
17552,Spain,ESP,1975,175.0798771,162.3125975,1.7507987710000001,1.623125975,0.12767279600000014
17553,Spain,ESP,1976,175.215857,162.3972615,1.75215857,1.6239726150000002,0.12818595499999974
17554,Spain,ESP,1977,175.3406437,162.4740751,1.7534064369999998,1.624740751,0.12866568599999972
17555,Spain,ESP,1978,175.4542426,162.5436422,1.7545424259999998,1.625436422,0.12910600399999983
17556,Spain,ESP,1979,175.5572995,162.607012,1.755572995,1.62607012,0.12950287500000002
17557,Spain,ESP,1980,175.6515022,162.6661863,1.756515022,1.6266618629999998,0.12985315900000027
17558,Spain,ESP,1981,175.7402326,162.722524,1.7574023260000002,1.62722524,0.13017708600000022
17559,Spain,ESP,1982,175.8250681,162.7772559,1.758250681,1.627772559,0.13047812199999997
17560,Spain,ESP,1983,175.9055926,162.8314527,1.759055926,1.628314527,0.13074139900000015
17561,Spain,ESP,1984,175.9804407,162.8846302,1.759804407,1.6288463020000001,0.13095810499999994
17562,Spain,ESP,1985,176.0485017,162.9361919,1.760485017,1.6293619190000002,0.13112309799999977
17563,Spain,ESP,1986,176.110101,162.9857499,1.76110101,1.629857499,0.13124351099999987
17564,Spain,ESP,1987,176.1660381,163.033384,1.761660381,1.63033384,0.13132654099999996
17565,Spain,ESP,1988,176.2177905,163.0783843,1.7621779050000002,1.6307838430000001,0.13139406200000003
17566,Spain,ESP,1989,176.2671077,163.1210348,1.762671077,1.631210348,0.13146072900000005
17567,Spain,ESP,1990,176.3143434,163.1612601,1.763143434,1.6316126009999998,0.13153083300000024
17568,Spain,ESP,1991,176.3607917,163.2010006,1.7636079169999999,1.6320100059999998,0.13159791100000007
17569,Spain,ESP,1992,176.4074264,163.240556,1.764074264,1.63240556,0.13166870399999997
17570,Spain,ESP,1993,176.4542004,163.2802495,1.764542004,1.632802495,0.13173950899999998
17571,Spain,ESP,1994,176.5008117,163.319335,1.765008117,1.63319335,0.13181476700000005
17572,Spain,ESP,1995,176.5473603,163.3585462,1.765473603,1.633585462,0.1318881409999999
17573,Spain,ESP,1996,176.5938671,163.3978007,1.765938671,1.633978007,0.13196066399999995
