Date,Open,High,Low,Close,Adj Close,Volume
2023-06-08,25457.052734,25532.357422,24439.041016,24606.056641,24606.056641,18240241845
2023-06-09,24607.601563,24855.738281,24505.197266,24585.150391,24585.150391,11041176912
2023-06-10,24583.025391,24859.050781,24438.089844,24635.195313,24635.195313,10247976986
2023-06-11,24636.486328,24682.335938,23714.921875,24039.843750,24039.843750,18480436760
2023-06-12,24042.439453,24361.992188,23870.359375,24130.296875,24130.296875,9983784698
2023-06-13,24124.824219,24209.353516,23915.753906,24067.697266,24067.697266,10850686659
2023-06-14,24068.105469,24433.074219,23841.755859,24021.917969,24021.917969,13108412593
2023-06-15,24023.335938,24126.425781,22988.296875,23170.253906,23170.253906,13156001847
2023-06-16,23167.484375,23514.351563,22886.794922,23366.492188,23366.492188,14468971047
2023-06-17,23365.476563,24186.175781,23090.869141,24029.074219,24029.074219,14899505285
2023-06-18,24030.185547,24432.425781,23889.458984,24196.294922,24196.294922,10122095681
2023-06-19,24196.093750,24387.423828,24060.574219,24065.609375,24065.609375,8740979157
2023-06-20,24064.906250,24711.832031,24062.453125,24580.533203,24580.533203,11742349094
2023-06-21,24571.958984,25997.822266,24462.429688,25940.925781,25940.925781,20340532225
2023-06-22,25926.111328,28035.025391,25896.998047,27317.933594,27317.933594,30337882736
2023-06-23,27289.402344,27740.044922,27076.027344,27303.242188,27303.242188,18851729873
2023-06-24,27288.730469,28834.900391,27282.316406,28118.583984,28118.583984,22091067976
2023-06-25,28130.740234,28218.140625,27747.289063,27984.132813,27984.132813,11128012797
2023-06-26,27980.884766,28435.357422,27801.533203,27947.595703,27947.595703,11647907874
2023-06-27,27947.835938,28073.417969,27464.802734,27746.609375,27746.609375,15117704681
2023-06-28,27749.533203,28300.296875,27721.142578,28006.048828,28006.048828,14992964810
2023-06-29,28013.712891,28019.843750,27406.714844,27560.505859,27560.505859,13348223289
2023-06-30,27560.451172,28315.765625,27563.476563,28014.898438,28014.898438,12128632702
2023-07-01,28011.220703,28758.470703,27125.810547,27918.685547,27918.685547,24172091842
2023-07-02,27913.736328,28068.953125,27782.755859,28022.041016,28022.041016,8323786098
2023-07-03,28019.468750,28195.566406,27707.949219,28072.724609,28072.724609,9656900726
2023-07-04,28076.158203,28757.505859,28074.076172,28549.082031,28549.082031,13993841916
2023-07-05,28549.470703,28713.302734,28162.611328,28281.734375,28281.734375,11771959918
2023-07-06,28282.787109,28385.066406,27740.130859,28109.283203,28109.283203,11497920664
2023-07-07,28102.822266,28956.966797,27576.773438,27465.175781,27465.175781,19402560820
2023-07-08,27463.947266,27751.708984,27342.931641,27661.828125,27661.828125,12202359559
2023-07-09,27666.074219,27682.320313,27420.380859,27613.984375,27613.984375,6845376907
2023-07-10,27613.134766,27739.617188,27434.660156,27504.669922,27504.669922,7204823687
2023-07-11,27505.753906,28205.222656,27358.943359,27635.562500,27635.562500,13473385341
2023-07-12,27638.435547,28007.113281,27642.716797,27802.660156,27802.660156,11033408180
2023-07-13,27803.835938,28085.425781,27143.892578,27279.845703,27279.845703,13289708218
2023-07-14,27276.113281,28345.683594,27159.490234,28044.089844,28044.089844,21103491550
2023-07-15,28042.906250,28105.207031,26681.351563,26979.121094,26979.121094,18604382626
2023-07-16,26977.087891,27044.679688,26916.324219,26961.966797,26961.966797,7130039801
2023-07-17,26963.447266,27088.121094,26778.513672,26939.876953,26939.876953,7584852317
2023-07-18,26940.318359,27019.994141,26400.279297,26828.544922,26828.544922,11783169579
2023-07-19,26829.597656,26886.185547,26358.511719,26590.166016,26590.166016,11701462491
2023-07-20,26595.048828,26893.683594,26624.367188,26696.830078,26696.830078,10824232222
2023-07-21,26698.015625,26931.333984,26642.810547,26756.269531,26756.269531,13161870825
2023-07-22,26768.031250,27003.929688,26706.617188,26865.529297,26865.529297,9856308454
2023-07-23,26865.486328,26940.599609,26656.001953,26752.763672,26752.763672,7074900677
2023-07-24,26769.214844,27254.931641,26725.558594,27041.066406,27041.066406,8287398296
2023-07-25,27038.480469,27038.644531,26125.642578,26373.333984,26373.333984,13916448698
2023-07-26,26375.191406,26589.501953,26252.154297,26449.912109,26449.912109,9291121374
2023-07-27,26448.435547,26765.597656,26362.937500,26498.292969,26498.292969,12184040124
2023-07-28,26497.234375,26550.537109,26500.779297,26607.666016,26607.666016,9810973539
2023-07-29,26609.009766,26773.416016,26589.246094,26577.896484,26577.896484,10169547544
2023-07-30,26578.078125,26648.238281,26527.966797,26612.046875,26612.046875,5875729907
2023-07-31,26612.205078,26677.984375,26367.255859,26556.158203,26556.158203,7872382313
2023-08-01,26558.884766,26757.517578,26497.675781,26580.546875,26580.546875,10600152979
2023-08-02,26581.240234,26958.771484,26140.937500,26958.771484,26958.771484,16599463506
2023-08-03,26984.583984,27262.208984,26438.583984,26638.914063,26638.914063,17556428623
2023-08-04,26647.917969,26870.722656,26519.101563,26644.656250,26644.656250,11670447577
2023-08-05,26640.732422,26573.966797,26236.896484,26368.833984,26368.833984,10916666747
2023-08-06,26370.011719,26394.568359,26263.361328,26339.843750,26339.843750,5984408159
2023-08-07,26341.273438,26474.818359,26268.835938,26395.765625,26395.765625,6607433069
2023-08-08,26392.726563,26572.435547,26126.472656,26521.001953,26521.001953,12376977033
2023-08-09,26520.494141,27545.892578,26514.794922,27159.880859,27159.880859,16032469557
2023-08-10,27160.978516,27402.841797,26771.636719,26929.605469,26929.605469,16743174060
2023-08-11,26931.861328,26893.119141,26711.607422,26798.734375,26798.734375,10804642291
2023-08-12,26794.462891,26878.560547,26705.857422,26831.294922,26831.294922,9305130013
2023-08-13,26833.185547,26892.808594,26794.669922,26847.951172,26847.951172,5653590554
2023-08-14,26848.525391,26871.195313,26743.679688,26758.697266,26758.697266,6698052713
2023-08-15,26759.015625,27126.171875,26637.867188,26960.865234,26960.865234,12847377485
2023-08-16,26960.505859,26901.498047,26674.798828,26752.154297,26752.154297,11592336189
2023-08-17,26750.986328,26794.564453,26393.152344,26393.152344,26393.152344,13746827219
2023-08-18,26391.333984,26446.816406,23373.714844,24520.585938,24520.585938,28618579170
2023-08-19,24494.404297,24655.845703,23596.927734,23921.724609,23921.724609,22063677425
2023-08-20,23920.142578,24105.289063,23694.763672,23964.562500,23964.562500,9763024956
2023-08-21,23965.166016,24155.755859,23880.179688,24081.244141,24081.244141,8309108586
2023-08-22,24080.421875,24065.949219,23741.984375,23971.851563,23971.851563,12269915353
2023-08-23,23977.914063,23987.117188,23533.328125,23999.806641,23999.806641,13371753989
2023-08-24,24007.937500,24651.097656,23857.650391,24326.121094,24326.121094,15632236498
2023-08-25,24326.011719,24454.257813,23956.742188,24227.376953,24227.376953,11919540643
2023-08-26,24228.587891,24234.349609,23941.740234,24129.414063,24129.414063,11492414331
2023-08-27,24129.011719,24184.732422,24070.322266,24093.095703,24093.095703,5590389230
2023-08-28,24092.890625,24238.449219,24052.923828,24163.882813,24163.882813,6403428781
2023-08-29,24163.810547,24243.509766,23932.878906,24115.007813,24115.007813,10163610214
2023-08-30,24111.623047,25887.892578,23967.394531,25509.867188,25509.867188,27019625216
2023-08-31,25508.662109,25539.486328,24772.763672,24975.578125,24975.578125,14953594670
2023-09-01,24979.845703,25271.097656,23752.982422,23916.753906,23916.753906,18613058724
2023-09-02,23919.103516,24086.718750,23508.601563,23917.246094,23917.246094,15947036076
2023-09-03,23917.417969,24074.427734,23873.091797,23980.349609,23980.349609,9363049087
2023-09-04,23980.974609,24161.787109,23911.605469,24071.607422,24071.607422,8307507381
2023-09-05,24070.312500,24181.355469,23767.308594,23919.564453,23919.564453,9897413453
2023-09-06,23921.921875,24137.240234,23726.884766,24037.847656,24037.847656,10344990792
2023-09-07,24041.529297,24192.181641,23694.646484,24014.712891,24014.712891,11891808448
2023-09-08,24010.121094,24686.888672,23952.195313,24530.304688,24530.304688,10365759745
2023-09-09,24534.992188,24654.304688,23993.216797,24194.585938,24194.585938,10102870009
2023-09-10,24194.371094,24209.830078,24105.710938,24185.269531,24185.269531,5119273334
2023-09-11,24184.832031,24251.882813,23925.748047,24104.980469,24104.980469,7371357332
2023-09-12,24104.503906,24124.251953,23192.755859,23412.441406,23412.441406,13584488417
2023-09-13,23410.583984,24645.748047,23403.671875,24023.845703,24023.845703,17350430194
2023-09-14,24027.763672,24548.669922,23960.486328,24437.322266,24437.322266,12179450287
2023-09-15,24437.279297,25165.308594,24351.880859,24954.433594,24954.433594,12986392832
2023-09-16,24948.927734,25153.759766,24606.507813,24936.523438,24936.523438,10758314752
2023-09-17,24934.185547,25073.419922,24810.191406,24898.650391,24898.650391,6936865556
2023-09-18,24898.318359,24938.402344,24783.187500,24872.564453,24872.564453,6349996049
2023-09-19,24871.445313,25725.355469,24753.900391,25021.539063,25021.539063,14604012182
2023-09-20,25027.683594,25734.210938,24952.451172,25474.994141,25474.994141,12926732278
2023-09-21,25474.162109,25619.441406,25169.361328,25475.597656,25475.597656,12470304435
2023-09-22,25473.562500,25533.726563,24798.580078,24921.820313,24921.820313,12543109513
2023-09-23,24918.466797,25111.501953,24866.294922,24924.990234,24924.990234,9920219726
2023-09-24,24924.041016,24976.207031,24869.617188,24924.822266,24924.822266,6943757707
2023-09-25,24924.808594,25032.384766,24622.509766,24657.968750,24657.968750,7693979394
2023-09-26,24655.103516,24945.947266,24474.373047,24829.972656,24829.972656,11327874247
2023-09-27,24826.458984,24927.884766,24677.222656,24805.451172,24805.451172,9447779085
2023-09-28,24798.117188,25445.197266,24886.236328,25085.046875,25085.046875,11154679998
2023-09-29,25087.992188,25788.466797,25071.955078,25581.568359,25581.568359,13328732653
2023-09-30,25584.687500,25664.966797,25266.656250,25435.613281,25435.613281,9826190897
2023-10-01,25435.583984,25605.810547,25414.107422,25488.726563,25488.726563,5038757973
2023-10-02,25488.236328,26554.115234,25486.058594,26488.859375,26488.859375,8996218165
